"Table","Entity","Property","Column","Decorator","Type","Nullable","File"
"drone_warhead_types","DroneWarheadType","updatedAt","updated_at","UpdateDateColumn","","","backend\src\drone-logistics\drone-warhead-type.entity.ts"
"drone_warhead_types","DroneWarheadType","weightKg","weight_kg","Column","numeric","true","backend\src\drone-logistics\drone-warhead-type.entity.ts"
"event_logs","EventLog","action","action","Column","varchar","","backend\src\event-logs\event-log.entity.ts"
"event_logs","EventLog","actorLogin","actor_login","Column","varchar","true","backend\src\event-logs\event-log.entity.ts"
"event_logs","EventLog","actorName","actor_name","Column","varchar","true","backend\src\event-logs\event-log.entity.ts"
"event_logs","EventLog","actorRole","actor_role","Column","varchar","true","backend\src\event-logs\event-log.entity.ts"
"event_logs","EventLog","actorScope","actor_scope","Column","varchar","true","backend\src\event-logs\event-log.entity.ts"
"event_logs","EventLog","actorUserId","actor_user_id","Column","uuid","true","backend\src\event-logs\event-log.entity.ts"
"event_logs","EventLog","createdAt","created_at","CreateDateColumn","","","backend\src\event-logs\event-log.entity.ts"
"event_logs","EventLog","details","details","Column","text","true","backend\src\event-logs\event-log.entity.ts"
"event_logs","EventLog","entityId","entity_id","Column","uuid","true","backend\src\event-logs\event-log.entity.ts"
"event_logs","EventLog","entityName","entity_name","Column","varchar","true","backend\src\event-logs\event-log.entity.ts"
"event_logs","EventLog","entityType","entity_type","Column","varchar","true","backend\src\event-logs\event-log.entity.ts"
"event_logs","EventLog","eventType","event_type","Column","varchar","","backend\src\event-logs\event-log.entity.ts"
"event_logs","EventLog","id","id","PrimaryGeneratedColumn","uuid","","backend\src\event-logs\event-log.entity.ts"
"event_logs","EventLog","metadata","metadata","Column","jsonb","true","backend\src\event-logs\event-log.entity.ts"
"event_logs","EventLog","readAt","read_at","Column","timestamptz","true","backend\src\event-logs\event-log.entity.ts"
"event_logs","EventLog","title","title","Column","varchar","","backend\src\event-logs\event-log.entity.ts"
"event_logs","EventLog","unitId","unit_id","Column","uuid","true","backend\src\event-logs\event-log.entity.ts"
"event_logs","EventLog","unitName","unit_name","Column","varchar","true","backend\src\event-logs\event-log.entity.ts"
"ew_frequency_ranges","EwFrequencyRange","createdAt","created_at","CreateDateColumn","","","backend\src\ew\ew-frequency-range.entity.ts"
"ew_frequency_ranges","EwFrequencyRange","ewPositionId","ew_position_id","Column","uuid","","backend\src\ew\ew-frequency-range.entity.ts"
"ew_frequency_ranges","EwFrequencyRange","frequencyFromMhz","frequency_from_mhz","Column","numeric","","backend\src\ew\ew-frequency-range.entity.ts"
"ew_frequency_ranges","EwFrequencyRange","frequencyToMhz","frequency_to_mhz","Column","numeric","","backend\src\ew\ew-frequency-range.entity.ts"
"ew_frequency_ranges","EwFrequencyRange","id","id","PrimaryGeneratedColumn","uuid","","backend\src\ew\ew-frequency-range.entity.ts"
"ew_frequency_ranges","EwFrequencyRange","label","label","Column","varchar","true","backend\src\ew\ew-frequency-range.entity.ts"
"ew_positions","EwPosition","callsign","callsign","Column","varchar","","backend\src\ew\ew-position.entity.ts"
"ew_positions","EwPosition","createdAt","created_at","CreateDateColumn","","","backend\src\ew\ew-position.entity.ts"
"ew_positions","EwPosition","effectMode","effect_mode","Column","varchar","","backend\src\ew\ew-position.entity.ts"
"ew_positions","EwPosition","id","id","PrimaryGeneratedColumn","uuid","","backend\src\ew\ew-position.entity.ts"
"ew_positions","EwPosition","lat","lat","Column","double precision","","backend\src\ew\ew-position.entity.ts"
"ew_positions","EwPosition","lng","lng","Column","double precision","","backend\src\ew\ew-position.entity.ts"
"ew_positions","EwPosition","mainDirectionDegrees","main_direction_degrees","Column","numeric","true","backend\src\ew\ew-position.entity.ts"
"ew_positions","EwPosition","mainDirectionUnits","main_direction_units","Column","numeric","true","backend\src\ew\ew-position.entity.ts"
"ew_positions","EwPosition","mgrs","mgrs","Column","varchar","true","backend\src\ew\ew-position.entity.ts"
"ew_positions","EwPosition","name","name","Column","varchar","","backend\src\ew\ew-position.entity.ts"
"ew_positions","EwPosition","notReadyReason","not_ready_reason","Column","text","true","backend\src\ew\ew-position.entity.ts"
"ew_positions","EwPosition","note","note","Column","text","true","backend\src\ew\ew-position.entity.ts"
"ew_positions","EwPosition","personnelRotationDate","personnel_rotation_date","Column","date","true","backend\src\ew\ew-position.entity.ts"
"ew_positions","EwPosition","radiusM","radius_m","Column","int","true","backend\src\ew\ew-position.entity.ts"
"ew_positions","EwPosition","readinessStatus","readiness_status","Column","varchar","","backend\src\ew\ew-position.entity.ts"
"ew_positions","EwPosition","sectorLeftDegrees","sector_left_degrees","Column","integer","true","backend\src\ew\ew-position.entity.ts"
"ew_positions","EwPosition","sectorRightDegrees","sector_right_degrees","Column","integer","true","backend\src\ew\ew-position.entity.ts"
"ew_positions","EwPosition","stationName","station_name","Column","varchar","","backend\src\ew\ew-position.entity.ts"
"ew_positions","EwPosition","traverseLeftDegrees","traverse_left_degrees","Column","numeric","true","backend\src\ew\ew-position.entity.ts"
"ew_positions","EwPosition","traverseLeftUnits","traverse_left_units","Column","numeric","true","backend\src\ew\ew-position.entity.ts"
"ew_positions","EwPosition","traverseRightDegrees","traverse_right_degrees","Column","numeric","true","backend\src\ew\ew-position.entity.ts"
"ew_positions","EwPosition","traverseRightUnits","traverse_right_units","Column","numeric","true","backend\src\ew\ew-position.entity.ts"
"ew_positions","EwPosition","unitId","unit_id","Column","uuid","","backend\src\ew\ew-position.entity.ts"
